code,title,operator,threshold,actual,unit,slack,status
exact_lot_count,Ровно четыре уникальных лота,==,4.0,4.0,шт.,0.0,PASS
territorial_archetypes,Территориальные архетипы (без федеральных лотов),>=,3.0,4.0,шт.,1.0,PASS
capability_groups,Разные группы космических возможностей,>=,2.0,2.0,шт.,0.0,PASS
public_core_lots,Лоты в режиме с public_core,>=,2.0,3.0,шт.,1.0,PASS
c0_limit,Стартовые затраты портфеля (BASE),<=,1300.0,1153.0,млн ₽,147.0,PASS
opex_limit,Годовые эксплуатационные расходы,<=,360.0,316.75,млн ₽/год,43.25,PASS
vpub_floor,Общественная ценность портфеля,>=,1000.0,1330.4,млн ₽/год,330.4000000000001,PASS
kcash_floor,Покрытие OPEX поступлениями (cash / opex),>=,0.6,1.0181531176006313,доля,0.41815311760063134,PASS
t_rep_floor,Средний t_rep по выбранным лотам,>=,0.63,0.73,—,0.09999999999999998,PASS
